7899	5049Z	04	11108	10	1
7899	5049Z	04	11108	24	3
7457	0287B	110	11108	40	1
7457	0429B	110	11108	12	2
7457	0429B	110	11108	20	3
7458	0509B	110	11108	16	3
7514	1278P	805	11108	40	1
7514	1278P	810	11108	6	2
7596	0287B	961	11108	8	1
7596	0287B	961	11108	8	2
7596	0287B	961	11108	8	3
7346	0344B	100	11108	47	1
7346	0344B	100	11108	16	3
7382	1278P	920	11108	16	1
7382	1278P	920	11108	8	2
7383	0233B	300	11108	16	1
7383	0509B	910	11108	8	1
7383	0509B	110	11108	8	2
7383	0509B	110	11108	10	3
7394	0287B	100	11108	50	2
7400	1278P	810	11108	33	2
7400	0080B	602	11108	2	3
6112	3907N	10	11108	16	2
6112	5058Z	03	11108	10	2
6112	3907N	10	11108	22	3
5853	0287B	120	11108	47	1
5853	0287B	120	11108	53	3
6010	6947C	199	11108	12	1
6010	1130P	251	11108	8	2
6010	3903N	10	11108	22	3
6014	0287B	110	11108	34	2
6014	9567Q	93	11108	8	3
6035	0344B	120	11108	44	2
6877	0287B	100	11108	8	1
6877	0080B	101	11108	28	2
6914	3781N	10	11108	4	1
6914	1278P	805	11108	36	2
6914	1130P	252	11108	8	3
6923	1222P	118	11108	24	1
6923	9582Q	45	11108	4	2
6923	1028P	920	11108	24	3
6923	0244B	920	11108	1	3
5621	1139P	120	11108	5	1
5621	1278P	805	11108	5	1
5621	1278P	810	11108	13	2
5621	1139P	120	11108	9	3
5638	1139P	100	11108	62	1
6216	0344B	100	11108	8	1
6216	0344B	100	11108	51	3
6799	1139P	100	11108	64	1
6812	9590Q	61	11108	3	1
6812	3907N	10	11108	5	2
6812	5049Z	01	11108	3	2
6812	0080B	920	11108	6	3
6825	3903N	10	11108	4	1
6825	3907N	10	11108	12	2
6846	1222P	930	11108	18	1
6846	0080B	930	11108	5	3
6846	3907N	10	11108	3	3
6988	0080B	910	11108	47	1
6988	5058Z	07	11108	2	3
6997	0287B	110	11108	54	2
6998	0287B	110	11108	39	1
6998	5058Z	03	11108	16	2
6998	9567Q	93	11108	8	3
7209	7914C	101	11108	56	1
7291	9521Q	30	11108	28	2
8026	1130P	121	11108	16	1
8026	0287B	120	11108	8	2
8056	3903N	10	11108	12	2
7615	1130P	250	11108	18	2
7659	0287B	120	11108	32	1
7659	0376B	610	11108	15	2
7659	0287B	120	11108	10	3
7809	3903N	10	11108	20	1
7809	3903N	10	11108	8	2
7809	0507B	100	11108	12	3
7897	1278P	920	11108	64	3
7899	5049Z	06	11108	2	1
7899	5049Z	02	11108	20	2
7899	0429B	120	11108	32	3
7457	3903N	10	11108	2	1
7457	0244B	920	11108	4	2
7458	1278P	810	11108	64	1
7458	0233B	300	11108	10	3
7514	3903N	10	11108	10	1
7514	8030P	300	11108	42	3
7596	0344B	840	11108	12	1
7596	0344B	840	11108	8	2
7596	0344B	840	11108	8	3
7346	1278P	805	11108	15	1
7346	1278P	805	11108	31	3
7382	0344B	100	11108	34	1
7382	0344B	100	11108	34	2
7383	1130P	250	11108	6	1
7383	0233B	300	11108	20	2
7383	1130P	250	11108	8	2
7383	1130P	250	11108	6	3
7394	0287B	100	11108	54	3
7400	1278P	810	11108	40	1
7400	0080B	603	11108	12	2
3545	0287B	120	11108	3	0
3836	1139P	100	11108	2	0
3836	1139P	100	11108	2	0
3836	1139P	100	11108	2	0
3836	1139P	100	11108	2	0
3909	0287B	120	11108	8	0
4821	1278P	805	11108	2	0
4821	1139P	150	11108	1	0
4821	1278P	805	11108	1	0
